番号,判定,総プレイ時間(時間),レビュー本文
15,おすすめしない,717,救いようのないゴミゲー。マッチングも遅いし、Sフラになっても頭おかしいA帯が味方に来る確率が上がるだけでなんの得もない。こんなゲームに何万も課金してる奴はその金でPS5買ったほうがいい。捨てゲー繰り返しても一切BANされないし、まじめにやるだけ損。
16,おすすめしない,17,そもそも時間によってはマッチすらしないので、ただの時間の無駄。 そんなことよりVS系を出してくれ
17,おすすめしない,32,こんなもんやってるくらいならクッキークリッカーやれ
18,おすすめしない,33,"レーティングがマッチしない（6時間待たされてマッチしない
カスタムは滞空のおかしいクロボンしかいない
初心者クエは初心者にクリアさせる気が一切ない
運営はプレイヤーを招こうとする気が一切ない為、オススメ出来ない"
19,おすすめ,284,"良い点
・奥深いゲーム性
　無数の機体に個性的なスキルや武装が組み合わせられており、そこにカスタムパーツで自分の使いやすいように機体を組むことが出来る。
　対戦では基本的な動きを覚えさえすればプレイスキル、読み合い、戦術で毎回新鮮な対戦を楽しむことが出来る。
　(ゲーム内で教えてくれる場所がないので、調べるなり、やりながら覚えるしかないのが残念)
　A帯以下が混じると無茶苦茶な編成になることもあるが、それはそれでハチャメチャで面白い(A以上になるとチーム編成が無茶苦茶だとチーム編成画面で抜ける人、対戦中に切断する輩が出てくる)
・700コスト以下であれば余程の産廃でない限り、自分の好きな機体で活躍できる懐の深さがある。
良くない点
・マッチングの遅さ
　A以下のランク帯はマッチングが遅い
　5VS5や6VS6が快適に出来る環境ではない。
　ランク戦しか対戦は出来ない。
　出撃可能な機体コストが2時間ごとに切り替わるが、機体数が少ない間は使ったことのない機体でランクマッチを闘わないといけない。
・ペイトゥウィン
　A以上は明らかに火力や防御力のおかしい相手が出てくる(有料カスタムパーツと呼ばれる期間限定ガチャでピックアップされるレアアイテムがあり機体性能が限界値を超えて強くなる要素がある)。
・悪質な行為の取り締まり
　悪質な切断(負けそうになったら切断する行為)
　悪質なチャット連打(味方チーム内で撃墜されたときや敗北した場合に同じコメントを連投する行為)
　意図的なFF(負けそうになると稀に出てくる。当たると敵味方問わずスタッグさせる射撃や格闘攻撃を当てる行為)
　などなどを通報すること自体は可能だが、通報できるのは味方チームだけで敵側の不快な行為を通報することは出来ない。
　ブラックリスト化してマッチング拒否する機能もない。
　通報したところで対象がBANされたのか、何らかの罰則を食らったのかユーザーが確認する術がない。
・700コスト以上は別ゲー(A帯以上は)
　機体のスピード、攻撃力など下位のコスト帯とはすべてが違う。
　ペイトゥウィンを強烈に感じる。
　環境機体に運営のダウン調整が頻繁に入る(完全に設計ミス、ガチャ回しても回さなくてもおもんない)

総じて
面白いけど、人にお勧めできるゲーム環境ではない(でも人は増えて欲しいのでおすすめします)。"
20,おすすめしない,730,"もう救えない
今まで問題なかったのに５月はじめのアプデ（ゴッドガンダムの強化調整あたり？）が来てからかなりの頻度でMS出撃シーン中にクラッシュする
ペナルティを消化しようにもクラッシュして出撃停止のループでかれこれ３週間近くプレーできない
ロビーやメニューなどを開くだけで動作がおもくなり、戦闘以外の最適化がとにかく終わってる
なんで7800x3dと7900xt、メモリ32GBにしてるのに落ちるんだ？
radeonが悪さしてるかもと思いましたが、前使っていたrtx3060にもクラッシュはあったので相性の問題ではないと思います。
ドライバのバージョンを変えても、再インストールしても、キャッシュを消しても、公式のQ&Aに掲載されている通りにしても、10試合の間にクラッシュする
これより重たいゲームをしても問題ないのにこのゲームだけクラッシュする。
運営に問い合わせしても、ペナルティは解除されないといわれるのはいいが、txtファイルを問い合わせフォームに添付しろと言われて、いざしようとしたらこの拡張子は添付できないとエラーが出て送れないというひどさ
ゲーム自体の出来の前にまともに遊べないのはそもそも論外
PS版はまともに動くので遊ぶならPS版をお勧めします。ゲームのシステム自体はいいので
今まであった限定コンテンツが限定じゃなくなったり、最適化が十分になっていないところを考えると、steam版の運営はたぶんやる気がないのだと思います。
いままで楽しんでプレーしてきましたがもう限界です、失望しました。

[追記]
ほかの人でもクラッシュ被害が確認されており、共通点はAMD社のRADEONを使用していることです。
つまりはゲームのアップデートにバグがあったと思われます。
NVIDIAのGPUを使っている方はおそらく問題ありませんが、radeonを使っている方はほぼ間違いなく同じ症状が出るので、公式からの声明やお知らせに改善報告が来るまではしないほうがいいか、するとしても出撃シーンがないモード（デュエルマッチやシュミレーターなど）にとどめることをお勧めします。
レートポイントが１２０ぐらい落ちてかなりがっかりしていますが、今回のような被害が大きいものだと症状が改善する際におそらく全プレイヤーのペナルティ解除があると思います。（来なければおかしい）
それを確認してからプレーを始めることになりそうです。"
21,おすすめ,193,楽しい
22,おすすめしない,182,"基本無料の課金ゲーだからインフレするのは解るんだけどコストという概念があるのに上から下まで全部インフレさせるからインフレに追いつけない人の逃げ道が無いのが本当に運営の無能さを表してると思う。
正直末期というか今の運営方針でいくら頑張っても改善されることは無いのが解るのが本当に残念。"
23,おすすめしない,23,時間の無駄
24,おすすめしない,1482,"チーター対策甘すぎ
対策事態やってないに等しい"
25,おすすめしない,436,ガンブレとか家庭用エクバとか最近でたカードゲームしたほうがいいよ
26,おすすめしない,1,"始めたきっかけ:
steamで配信されている数少ないガンダムゲームだからプレイした。

良い点:
他のゲームではあまり出ない機体がプレイアブル機体として数多く参戦している。

悪い点:
爽快感が無く昔のゲームのような重たい動作。初心者狩り。ガチャ要素。

備考:
知名度が高い機体を始めから使えず、既存プレイヤーに狩られて面白味が分からずやめました。

おまけ:
steamでもガンダムゲームが増えてはいるがPSで人気のあったガンダムブレイカー3やvs.シリーズの移植、ガンダムエボリューションを復活させてほしいです。"
27,おすすめしない,2855,"頭おかしい奴に足を引っ張られてレートを下げられるだけの何かでありゲームではない
最近はS帯でさえおかしい奴が普通にいる

これがゲーム？冗談でしょ
これで課金？ありえない"
28,おすすめしない,17,グループでレーティングマッチをする機能がなくなって以来、終わってます
29,おすすめしない,948,モビルスーツを眺めるにはぴったりのゲームです
30,おすすめしない,1,まともな脳なら、オプションをチュートリアル後に開放する思考にはならない
31,おすすめしない,301,いつまで経っても害悪ユーザーをBANしてくれない
32,おすすめしない,55,"野良のドブカスクソ雑魚共に俺の怒りをぶつける機能を実装してくれ
支援砲撃顔負けの火力見せてやるから"
33,おすすめしない,0,原作をまったくもってリスペクトしていない。無料だといえどもこれほどクオリティが低いのはおかしいと思う
34,おすすめしない,1587,"PS版行ってください。
特権は剥奪されました。"
35,おすすめしない,1247,チーターが多すぎる。報告しても改善される気配が無い。抜本的な対策を望む。
36,おすすめ,1667,"プレイ時間のほとんどがマッチング画面を眺める時間なため、
裏で作業をしたい方にお勧めです。"
37,おすすめしない,9,"レーティングマッチに関して。
チームワーク重要なゲームなのにパーティ組めないのは謎
だから廃れてくんじゃねえの？
単独行動するやつ多くてきついよ。"
38,おすすめしない,438,"チートカス。チートカスを放置する運営。
初心者を嬉々として粘着襲撃するサブアカ古参。
おまえらの全てがこのコンテンツを死に導いたと心得よ。"
39,おすすめしない,135,"ガチャは当たらんマッチングはしない煽り厨たくさん無課金初心者に厳しい
いわゆるクソゲーにあたるゲームです、もしこのゲームをやろうとしているなら絶対にやってはいけません。
2試合に１回煽られ、格下をボコって気持ちよくなっている人の形をして名前がついているだけの肉塊が平気でネットに初心者達を晒し上げるこの世の終わりのようなゲームです。ガンダムという民度を捨てきった界隈にオンラインゲームを付け加えてしまったらそんなの地獄になるに決まってらぁ"
40,おすすめ,85,"かつてコンシュマーでサービス開始辺りからプレイし、Aランク帯をウロウロしてた人間のレビュー。
現在はマッチングがさっぱりで、かつての勢いはない。ただ今、無料でも全然行ける。DP（無料のお金）でかなり揃えられる為、好きなMSを買うまで等々楽しみながらプレイすべきかも。エンジョイ勢はOK。正直MSの強弱で云々言うような方々はコンシュマーで良いんじゃないかな。Aランク帯から色々言うおかしな方々がいるので僕はそれで引退したが、チームワークが一番強いゲーム。１対１で勝とうと思うなら三すくみの範囲で。それで負けるなら鍛錬の必要がある。強襲はなるべく死なないよう支援狩り、汎用はチームを意識し強襲狩り、支援は配置とエイムに気を配り汎用狩りすべき。
チーターらしき連中も多々。戸惑っているどう見てもビギナーの方も多々。そんな中メタメタにやっつけるもよし、明らかに上手い人のMSを追っかけて動きを学ぶもよし、混沌を楽しめる方が合う。もし引退している方も良かったら初めて見てほしい。色々変わってて面白い。ただ…低コスト帯が全く遊べず、ジオン軍人としては寂しいものがある。ただネオ・ジオン軍人は楽しめる。人がいない以外は成熟したゲームと言える。サブスクにすればチーターいなくなるのにな。"
41,おすすめしない,13,バトオペ1をPS時代にやってたのを思い出してプレイしたが中国系チーター多め初期狩りしてる人多め新規参入にはツライかもしれない。
42,おすすめ,2339,"誰が何を言おうと神ゲー

GBO2感謝"
43,おすすめしない,8,キーマウなのにパッドの操作感、キャラが多い割に似たような性能だしやってることも一緒。無印OWが帰ってきたんだからガンエボも帰ってこい、ガンエボやらせろ。このクソゲーを延命させてる金の使い道のない老人共が一番の癌、ここからいなくなれ。バンナムはさっさとコロニー落とされろ。
44,おすすめ,326,"硬派なガンダムゲーがこれしかないからやらざるを得ない
理想はｐｓ版とのプラットフォーム統合だが、まあ無理だろう
ガンダムというＩＰをどう生かしてこれからプレイ人口を増やしていくか

期待はしている"
45,おすすめしない,182,fxxkin hot
46,おすすめしない,834,"環境機を持っていないとまず楽しめないゲーム。
始めたては面白いが、誘った友人は操作や管理するのがむずいと去っていき、気づいたら一人で修行僧のように積み重ねて環境機を攻略していた。運よく環境機を手にすると立場が逆になり蹂躙するゲームになる。
また運営の羽振りは良いが環境機が壊れすぎてて産廃を押し付けられた気分になる。
特に７００コスト汎用ウイングガンダムゼロが暴れすぎてて、新機体や修正された機体が蹂躙される。
通信も酷いようで人が居ても居なくてもかなりの頻度で切断される。
ストレスチェックかなと思いながらプレイしていたが、ウイングガンダムゼロやバルバトスに疲れた。ウイングガンダムゼロが弱体化した後とは思えない。
更に弱体化されて他の機体がまともに使えるようになったらプレイするのを検討したいと思う。"
47,おすすめしない,156,雑魚をキャリーするゲーム
48,おすすめ,98,まあおもろい
49,おすすめしない,1800,"機体数が多いのでファンには嬉しいゲームだが、レーティングが雑すぎてどんなヘタクソでもレーティングAまでは上がるためA以下はほぼマッチングしない。またレーティングマッチでMVPを取ったところで負ければレーティングが下がる等A以上に上がるには味方運次第の運ゲーの趣が強い。
チーターはよくBANしているようだが、ゲーム放棄は対策が無くマッチの途中で負けが確定することもしばしば。
またマッチングが悪いにもかかわらずマッチング後の猶予時間が非常に長く暇な時間が多いゲーム。"
