番号,判定,総プレイ時間(時間),レビュー本文
1,おすすめしない,0,マルチプレイ（クソラグ）のために4000円出す程の価値は無い。
2,おすすめしない,0,"公式サーバーは少ないけどプレイはできますがPINGが１００オーバーの物しかなく快適にプレイできるとは言えません。
中身も手が加えられている印象はなくわざわざこれを購入しなくてもsteamで単体で安価に販売されているオリジナルを買っても何も変わらない気がします。
ちなみに公式サーバーですが現状多くて１０人くらいしか入っていなくてすでに過疎って死産状態です"
3,おすすめしない,33,"クソガキだった頃、PS2で毎日遊んでいました。
SWBF1では匍匐でゴングドロイドくんに全身を擦り付けて気持ちよくなったり、ヒーローにブラスターを3億発撃ち込んでも倒せなくて絶望しました。
SWBF2では無免許パイロットニキが操縦するガンシップが着陸に失敗し、敵ハンガーの壁に突っ込んで爆散するなどのお祭り騒ぎが楽しめます。今作はあのキット・フィストーニキが操作可能キャラとして追加され、フォースオーブを放つシーンが再現できるので激アツです。ホスの64人CTFモードが地獄絵図だったり、地雷やプレシジョンピストルが最強だったりとシングルプレイは今まで通りで安心しました。相変わらずNPCはフュージョンカッターを握りしめたまま突撃してきたり、プレイヤーの目の前で偵察ドローンを起動して遊び始めるなどの最強ロジックを有しています。過去作ではモス・アイズリーでしかヒーローアサルトがプレイできませんでしたが、今作は全マップでフォースプッシュによるスマブラが堪能できます。

評価は神ゲーなのですが、マルチプレイサーバーにリストロケットが直撃してしまったため-1145141919810点とさせていただきます。"
