番号,判定,総プレイ時間(時間),レビュー本文
32,おすすめ,2623,"俺を格ゲー沼に沈めた作品
どう考えても他責出来ないゲームというものを俺は求めていたらしい、しかしどの格ゲーも難しそうだなと思ってジャンルごと手を出すことはあまりしてこなかった
でもスト6は簡単に入れた、攻めたいならラッシュで走る！とにかく格ゲーは攻めるのが難しい印象があったが、ラッシュで走って雑に攻められるゲーム性がかなり分かりやすくて助かった、もしこのゲームにドライブラッシュがなかったら俺はモダンに一生対空されてやめていただろう

人口が多いので、初心者向けの動画もたくさんある、ランクマで同じ初心者同士でもワチャワチャ遊べる等々いい点がたくさんある、格ゲーが初めてなら遊んでみて欲しい。俺は遊びすぎて1キャラをアルティメットマスターまで上げて、今は新しいキャラをアルマスまで上げようと頑張ってる、キャラごとに見える世界がかなり変わるので無限である"
33,おすすめしない,192,モダンとイングリトが最高にきもいゲームです
34,おすすめしない,473,玩起来糊的要死，卡卡的
35,おすすめ,303,"努力が報われる神げー
他責志向の方はこのゲームをして身の程をまず知ろう。"
36,おすすめ,202,おもろー
37,おすすめしない,17,"買わなきゃよかった

追記
友達とやる分には悪くなかった"
38,おすすめしない,14,"キャラクターパスやアルティメットパスのDLCは約4,000円x4シーズン。
なんか高くない？いい印象はありません。"
39,おすすめしない,919,イングリットとモダンをどうにかしろ　なにもおもしろくないぞ
40,おすすめ,21,hadoukennnn
41,おすすめ,37,クラシックでやる
42,おすすめ,285,今は暴言を吐かないよう！ダースベイダーの真似をしてこのげーむをしています！
43,おすすめ,1257,ヴァイパー.........やろう。
44,おすすめしない,146,"微妙なゲーム、モダンアンチの人は「いや練習しろよｗｗｗ」と普通に思うわけですが、この手のゲームはマジで練習積み重ねないと強くならないので、そもそもの話「メンタルが強くて、多くの時間をこのゲームだけにささげることができる人」又は「負け嫌いな人」以外は絶対購入してはいけません！！絶対に！！！
さらにここ最近新キャラ関係で少々ゲームバランスが問題視されていることもあり、極端に一定のキャラにみんなよりがちな時もあります。そのため嫌いなキャラと一生ランクマッチすることもあり、マジで怒り通り越して萎えます。

あと普通に瞬発力命なんで、瞬発力や反応速度ない人はランクマッチに絶対向いてません、動画などで見てわかる通り、強くなれる人はその辺もちゃんと鍛えています。

ここまで見てくれた人はありがとうございます。最後に何度も言いますがこのゲームは練習と反応速度が必要不可欠なゲームであり、負ける時は負けまくります。「FPSゲーム（銃火器系」ゲームのような適当打ちでまぐれ勝利はほとんどなく、まじでぼっこぼこに負けます。キャラ変えても負ける時は負けます。

とにかくたった一人でこのゲームを愛し、練習を積み重ね、時間を浪費しても結果が悪くて萎えても立ち上がれるメンタルがある人向けのゲームですので、一般的な社会人や学生さんには絶対にお勧めしません。時間がたっぷりある人のみご購入を推奨いたします。

あと「なんか有名な人たちがやってるから自分もやろ！」と軽い気持ちでやらない事をお勧めいたします。
金をドブに捨てる可能性がありますので・・・。

以上"
45,おすすめしない,780,がちでつまらん　モダンぽちぽちｗちぽちぽｗち〇ぽち〇ぽｗ画面端いったらDリバうてよ。アシストぽちｗちぽｗち〇ぽｗ下品な戦い方ｗ
46,おすすめしない,1346,"クラシックで初めてハイマスターまではプレイした立場で書かせていただきます。

モダンシステムについても賛否がありますがクラシックで始めようとする人にとっては良くないシステムであることはご承知おきください。

マスター帯に行っても自動ヒット確認のアシストコンボしかせず、ダメージを取ったらあとはワンボタンSAをひたすらに狙い下がるものなど、モダン相手にはモダン相手の立ち回りを強要され、格闘ゲーム本来のコンボや読み合いとは関係ないストレスがかかります、、、
ワンボタンで対空が出てしまうのもよくないですね。コマンド入力に本来かかるフレームを完全に無視しているのはいかがなものかと思います。

モダンは個人的には良いシステムと思いますが（良いシステムではありますが嫌いです）、システムの恩恵が大きく少しやりすぎた風潮がありますね。
というか完全初心者でクラシックで初めてモダン好きな人はいない気がしますが。

今から始める方はクラシックで始めると引退してしまうほどモダンシステムは過激なのでモダンで始めることをお勧めします。
格闘ゲーム本来のコマンド入力にあこがれてクラシックで始めようとする人もいるのに、蓋を開ければ相手は自動コンボ、ワンボタン対空、ワンボタンSA。まあ面白くはないですよね

ただ、キャラは魅力的だしそれぞれの技もかっこいい。モダンでもちゃんとシステムだけに甘えず真っ向から対戦してくれる人もそれなりにいるのですべてが悪いというわけではありません。

今後の運営のアップデートを期待します。"
47,おすすめ,252,"ゲームそのものはおもろい

モダンそのもののワンボタン技とかにそこまで不満はないんだけど、
ボタンポチポチィ～↑って連打してるだけでオートヒット確認してコンボはガチでありえない
チートと変わらんやん
せめてそこが人力だったら、クラシックと比較的バランス取れると思うんだけど...

ボタンポチポチマンに蹂躙される初心者クラシックのことを何も考えていない"
48,おすすめ,1015,負けた際は全裸でのたうち回ればスッキリするので神ゲー
49,おすすめしない,67,アレックスが弱い
