番号,判定,総プレイ時間(時間),レビュー本文
55,おすすめ,82,"ガチでフレンドさえいればいっぱい面白いんだよ……フレンドさえいれば……
問題はフレンドが付属していないこと
知らん人とやっても大して面白くないこと
フレンドのフレンドみたいな人とやっても気を使って楽しめないこと
少なくとも1人で買ってやるゲームではないです

大学生の時にやればよかった……"
56,おすすめ,14,神ゲー
57,おすすめ,1,"おもしろいー
小学生のレクレーションとかでやれば盛り上がること間違いなし"
58,おすすめ,22,omoroi
59,おすすめ,13,"スマホの無料版でいいじゃん！って思う人いると思います。でも正直遊んでみるとPC版の方が断然おすすめします。理由は３つあります。
- チャットが爆速（keyboardだからチャットしやすくてミスも減るしよりゲームを楽しめる）
- 操作めっちゃ楽だし画面大きいから操作ミスが起きない
- modとか入れてVCしてみたりいろんな役職入れてみたりできておもろい。（特にVC mod)"
60,おすすめ,13,わたしは怪しくありません。
61,おすすめ,1293,非常に良い
62,おすすめしない,6,なんか、おちる。まじでいらいらする。
63,おすすめ,42,"нельзя купить скин пушина, говно"
64,おすすめ,10,Good game it's rlly fun to play I recomend it
65,おすすめ,53,たーのしー！
66,おすすめ,8,みんなやれえええええええええええええええええええええ」
67,おすすめ,21,Good.
68,おすすめ,45,おもしろい
69,おすすめ,220,MODMODMOD！
70,おすすめ,163,おもろい
71,おすすめ,18,"人狼ゲームが動けるようになったゲームです
普通の人狼ゲームと違って動いてすることができるので普通の人狼ゲームとは違う楽しさがあります"
72,おすすめ,166,"ゲームにある程度慣れてくると、細かいゲームバランスがいくつか気になった。
キル位置にペットが残る仕様を消せるようにして欲しい。視認情報や位置の偽装などができずに嘘をつくリスクが高すぎる。
『探偵』という役職が強すぎてインポスター側が不利すぎるため、常時アドミン使えるインポスターみたいなの追加して欲しい。ペットが残る仕様と相まってより不利になっている。
停電サボタージュを直すときにかち合いが起こるため、誰かの視点で直せば解除できるようにして欲しい。
インポスター同士の役職が分かるようにして欲しい。そうすればある程度立ち回りを考えることができると思う。
ゲームは楽しいので身内集められる人にはおすすめ"
73,おすすめ,14,gud game
74,おすすめ,468,"議論ができない人とかもいるけど、基本的にみんな議論とか話し合いができる人が多いし。
荒らしも少なめ、新規の人にも優しい人が多い。あと何より対人ゲーだから飽きない。
実績33個中32個獲得してて、やり込んでると自負している私も、
やり始めたらやめれない某お菓子みたいな楽しさもあるし。めっちゃ悪かった記憶力もある程度上がった。
すこし高圧的でインポスターへのリスペクト的なものがない人もいるけど。
みんないい人で楽しい!!"
75,おすすめ,33,いいげーむです
76,おすすめ,3,すごいゲームです！
77,おすすめ,7,"俺は誰も殺していないんだ。
なんで誰も信じてくれないんだ！"
78,おすすめ,369,ホロライブコラボを3倍でいいから再販してくれ
79,おすすめ,1,"騙し合いゲーム元祖
復帰勢には役職がわからない😁"
80,おすすめ,8,インポスター側もクルー側も勝利が五分五分でとてもいいバランスのゲームだと思いました
81,おすすめ,64,"友人との騙しあい、殺し合い、疑い合いのゲームです。
非常に楽しいのでおすすめ"
82,おすすめ,6,"オンラインではしたことありませんが、身内でした時はとても面白かったです！
ただ殺し足りするだけじゃなく、ロールがあり、クルーでもできることが多く、インポスター側もただ殺すだけじゃなくアクションが増えています。

おすすめは対戦しつつも、設定で微調整するのがいいと思います。

安くて面白い！人数が集まるならおすすめできる作品です！"
83,おすすめ,784,p
84,おすすめ,4,我ながらこんなに簡単に嘘がつけるのだなとびっくりしました。普段遊んでいる友達に『そんな息を吐くように嘘をつけるとは思わなかった！これから警戒するわ！』と疑念を抱かれてしまいました。そんなゲームです。
85,おすすめしない,12,"野良Amoung us行くとよくわからん何か持ってそうな奴がいたり
フレンドとやって片方殺されるとインポスター教えてくるやつとかいたり
よくわからんかっこいい用語つかって初心者に優しくないゲロがいたり、このゲームでは様々な人間がいるという事がよくわかりました。現在の社会でもよく話題になっている ""LGBTQ"" の勉強になったりこのゲームを通して成長を感じれました。もう二度とやりません。"
86,おすすめ,12,このゲームを野良でプレイした場合日本語でチャットすると「japanese fu0k」と言われることがあります。楽しいです。
87,おすすめ,119,omoroi
88,おすすめしない,703,"人狼系のゲームということで治安は終わってるが、部屋主の力でどうにかなることもある
少なくともインディーゲームとしてはかなり頑張っていると思う
ただ...接続が不安定で抜けた人と落ちた人の区別がつかねぇ まぁ頑張ってほしい

えー遊んでたらエグイバグがありました
霊界チャットが現世の人も見れちゃうという人狼ゲームであっちゃならんバグです
(例:緑氏は霊界のピンク氏の発言が見れてしまった 結果試合結果は変わってしまった)

よってこのバグの存在を知りつつおすすめは出来ません 変更です　失礼した"
89,おすすめ,30,d
90,おすすめ,5,ii
91,おすすめ,26,信念を曲げるな
92,おすすめしない,18,фигня блин
93,おすすめ,5,友達と大人数で遊ぶと楽しい。
94,おすすめ,70,野良アモするくらいならすね毛数えてる方がたのしい
95,おすすめしない,509,sine
96,おすすめ,10,面白いが数回やったらmodありきになるので、そこへの誘導をもっと簡単にしてほしい
97,おすすめ,29,みんなでできて楽しい
98,おすすめ,132,バニラでも楽しいけどmodを入れるともっと楽しい。ただ部屋でルールを決めている場合が多いから嫌な人はやめた方が良い。一緒にやる友人は別売りなので気を付けたほうが良い（野良部屋もあるから友達を買わなくてもプレイ可能）
99,おすすめ,65,:
100,おすすめ,51,素敵なゲームですなので起動してください!!お願いします!!!
