番号,判定,総プレイ時間(時間),レビュー本文
40,おすすめ,1551,"建築を楽しむもよし、戦闘や探索を楽しむもよし。
ゲーム開始から序盤は探索や地下の採掘がメインになるかと思いますが、不思議とやめられないんですよね...
とにかく時間が溶ける！"
41,おすすめ,623,バニラでクリアしたあとMODもかなりの数あるからフルプライスゲー以上に遊べる。
42,おすすめ,740,おもしろい
43,おすすめ,132,このゲームにサムダウンつけてるような人はなにか人生に問題があるようにみえる
44,おすすめしない,3,gomi
45,おすすめ,207,"ゲーム内最強武器ゼニス入手、覚醒女帝討伐、最強エンチャントフル、マスター（高難易度）攻略までしました。

ここまでおおよそ「１００時間」です。※マルチあり。

以前３DSでのテラリアの経験はありますが、そのころとは全く違う新要素が多くとても楽しませてもらいました。分からないことはテラリアwikiで調べながらやるといいと思います。

年末や４月にセールが来れば「６００円」で買うことができますが、わざわざ待たずとも定価の１２００円で「今すぐ」買う判断をしても後悔はしないと思います。

後半のマスターモード攻略ですが最強武器があればサクサク進みます。

キャラクター作成にてよっぽど腕に自信がありゴットハンドだと自称する方以外は「キャラクターノーマルモード」でやる方がいいと思います。難易度選択には２種ありワールド難易度、キャラクター難易度です。キャラクター難易度でノーマルであればアイテムは失いません。（仮に高難易度で死亡してアイテム回収できなかったら作成にかなり時間がかかるアイテムをロストするのでとても悲しい、悔しい、口惜しい。）


良い点

自由度が高い。

武器やアイテムの種類が多い。

武器がかっこいい。

食べ物がそこそこ豊富。

良い意味でマイクラとは別。

マルチの回線が良い。

極めて軽い。（ほぼすべてのPCで動くと思います）

友達とわちゃわちゃできる。（かなり楽しい）

ソロでも楽しい。（楽しい楽しい）

日本語対応。

MODがたくさんありクオリティーが高い。

悪い点

キーボード設定画面でキー設定ができない。（Ctrl＋Alt＋Delを入力してもう一度選択場所をクリックすると一時的に直る。）

自由だからこそ何をしたら良いかわからない。（一応ガイドがいる）

友達を作らないければならない。（レビューを見てくれた貴様はもう友達だ！）

以上です。素敵なテラリアライフを迎えられますように！

幸せになりますように！

宝くじが当たりますように！"
46,おすすめ,216,"ハマれば100時間以上プレイしてしまうことは免れないでしょう。
MODですらほかの作品にはないクオリティで楽しむことができます。

とりあえずやっておくといいと思います。"
47,おすすめ,720,"冒険、戦闘、ボス攻略、建築、アイテム収集、ファーム、全てにおいて最高バランスの神ゲーです。

最序盤こそ、いきなり世界に放り込まれて何をすれば良いのか困ってしまうことはあるものの、少しずつ探索範囲を拡げて、色々な武器や防具、アクセサリー等を装備して、さらに冒険の範囲を拡げていく。
最後にはずっと空を飛び続けるアイテムでテラリアの世界を縦横無尽に飛び回る。
ずっとワクワク感が止まらないゲームです。"
48,おすすめ,98,АУЫАЯВМЫВСЫВСМС
49,おすすめ,62,"今まで名前だけ知っててやってきませんでしたがいざやったらマジで面白かったです
レアドロップの要素がたくさんあってアイテムの種類も多いので次から次に面白いアイテムが手に入って飽きずに楽しめました、一つ気になるところがあるとしたら攻略を見ないと絶対ストーリーがクリアできない所です
初見で何も見ずにストーリークリアまでやろうとすると途方もない時間がかかると思うので攻略を見ながらやるのがおすすめです"
50,おすすめ,125,神
51,おすすめ,648,"バニラをクリアしてmod入りでクリアして満足してしばらくすると大型バージョンアップ
なのでまたバニラをクリアしてmod入りでクリアして満足してしばらくすると大型バージョンアップ
これが1200円てマジ？
10年以上経っても楽しませてくれるコスパがヤバイゲーム"
52,おすすめ,278,saikooo
53,おすすめ,101,よき
54,おすすめ,134,"２Dだからといって３Dに劣るわけではない。
むしろ２Dだからこそ多彩な表現ができる本作。
探索や戦闘にも力を入れており、苦しかった探索やボス戦を、装備を整えて乗り越えた時の達成感がたまらない。"
55,おすすめ,4,このキー設定したら戻れないのなんなん
56,おすすめ,174,"武器の多彩なモーションやボスの豊富さに魅力を感じました。神ゲーです。
ですが、もしあなたが攻略サイトを見ないタイプならこう言うでしょう。
なにをすればいいの？"
